timestamp,event,human,role,sessionId,detail,path
2026-07-07T14:53:00.097Z,login,naoki,admin,04ab0ffc-c60c-4070-8c06-3b3b22e2fd2b,sessionVersion=1,/index.html
2026-07-07T14:53:05.304Z,login,naoki,admin,617ad34a-9e8d-4e31-916b-dd30d788adee,sessionVersion=1,/index.html
2026-07-07T14:53:08.255Z,login,naoki,admin,60279b6b-71ea-4c26-b080-5f2afc3a6741,sessionVersion=1,/index.html
2026-07-07T14:53:11.048Z,login,naoki,admin,f64c242a-5fb9-4af1-9e6f-21ab7c39ea63,sessionVersion=1,/index.html
2026-07-07T14:53:15.978Z,login,naoki,admin,5c98dc62-fbe9-4815-9bfb-b0de79b67392,sessionVersion=1,/admin/machine-qr.html
2026-07-07T15:28:12.192Z,stepup-required,naoki,admin,5c98dc62-fbe9-4815-9bfb-b0de79b67392,path=/admin/machine-qr.html,/admin/machine-qr.html
2026-07-07T15:29:20.497Z,login,naoki,admin,90391c01-efe7-45a9-bf1b-e3a0604a7a64,sessionVersion=1,/index.html
2026-07-07T23:48:32.254Z,expired,naoki,admin,67d3aaf2-db5e-43ba-996b-15814160f716,issuedAt=1783429722274,/
2026-07-07T23:48:51.175Z,login,naoki,admin,93b07d87-2690-4dae-b009-a7996c02f0a1,sessionVersion=1,/
2026-07-07T23:48:52.123Z,login,naoki,admin,686f7556-a938-4888-a5d1-50463130f0f8,sessionVersion=1,/
2026-07-08T00:40:33.856Z,stepup-required,naoki,admin,686f7556-a938-4888-a5d1-50463130f0f8,path=/admin/index.html,/admin/index.html
2026-07-08T00:40:40.959Z,login,naoki,admin,279e76eb-648b-497b-8a70-6f48939eeb94,sessionVersion=1,/index.html
2026-07-08T00:40:47.816Z,login,naoki,admin,6b29ac2d-7b86-46d2-8c5d-12efb357a099,sessionVersion=1,/admin/machine-qr.html
2026-07-08T00:41:24.992Z,login,doi,worker,9ddfade3-6421-4171-822a-d611b5615586,sessionVersion=1,/index.html
2026-07-08T01:30:48.046Z,logout,doi,worker,9ddfade3-6421-4171-822a-d611b5615586,manual,/field/weeding/list.html
2026-07-08T01:30:54.649Z,login,doi,worker,d6627f9b-0e67-47e2-b738-f59be0ef6bc8,sessionVersion=1,/index.html
2026-07-08T01:36:22.711Z,stepup-required,naoki,admin,6b29ac2d-7b86-46d2-8c5d-12efb357a099,path=/admin/machine-qr.html,/admin/machine-qr.html
2026-07-08T01:36:32.557Z,login,naoki,admin,deeed5b2-4235-4275-8a88-4570f028a90a,sessionVersion=1,/index.html
2026-07-08T03:56:07.815Z,expired,doi,worker,d6627f9b-0e67-47e2-b738-f59be0ef6bc8,idle-timeout:3600000,/field/weeding/index.html
2026-07-08T03:56:18.939Z,login,doi,worker,792ade3d-8aa9-486e-9163-38090b7b945f,sessionVersion=1,/index.html
2026-07-08T05:24:02.603Z,expired,naoki,admin,fd1d3286-fcf1-4271-aad3-f4c737c6d216,idle-timeout:3600000,/
2026-07-08T06:17:07.849Z,login,naoki,admin,91ac4d8c-aee3-425b-a179-ab6f17189255,sessionVersion=1,/index.html
2026-07-08T08:19:14.636Z,expired,naoki,admin,91ac4d8c-aee3-425b-a179-ab6f17189255,idle-timeout:3600000,/
2026-07-08T08:19:22.271Z,login,naoki,admin,3aab23f2-da3c-429f-98f3-1b5cc7709d9f,sessionVersion=1,/index.html
2026-07-08T12:25:32.914Z,login,naoki,admin,13062e9a-989a-4970-9752-5df1965e4cad,sessionVersion=1,/index.html
2026-07-08T20:49:24.134Z,login,naoki,admin,d7f650e0-af29-4a19-983f-791eca5754d0,sessionVersion=1,/index.html
2026-07-08T21:51:35.848Z,expired,doi,worker,792ade3d-8aa9-486e-9163-38090b7b945f,issuedAt=1783482978795,/field/weeding/list.html
2026-07-08T21:51:48.671Z,login,doi,worker,f33e0db6-52ac-4f38-b6b6-72427e81cd1b,sessionVersion=1,/index.html
2026-07-09T00:18:21.687Z,expired,naoki,admin,3aab23f2-da3c-429f-98f3-1b5cc7709d9f,issuedAt=1783498762155,/
2026-07-09T00:18:31.081Z,login,naoki,admin,cefc9f88-3d83-4940-8996-0f7922f2bfc3,sessionVersion=1,/index.html
2026-07-09T02:47:33.513Z,expired,naoki,admin,cefc9f88-3d83-4940-8996-0f7922f2bfc3,idle-timeout:3600000,/field/weeding/list.html
2026-07-09T02:47:38.625Z,login,naoki,admin,bd464e04-d55c-4dc5-987c-2d52e0d3a6aa,sessionVersion=1,/index.html
2026-07-09T02:57:18.633Z,expired,doi,worker,,idle-timeout:3600000,/index.html
2026-07-09T02:57:24.592Z,login,doi,worker,31e5fe1b-c8af-45e4-b1f3-f05e5f3c6500,sessionVersion=1,/index.html
2026-07-09T04:05:13.611Z,expired,doi,worker,f33e0db6-52ac-4f38-b6b6-72427e81cd1b,idle-timeout:3600000,/field/weeding/list.html
2026-07-09T04:05:23.665Z,login,doi,worker,32ac6a64-79d8-4208-92f1-a4eed51b7e03,sessionVersion=1,/index.html
2026-07-09T04:33:49.299Z,expired,naoki,admin,bd464e04-d55c-4dc5-987c-2d52e0d3a6aa,idle-timeout:3600000,/
2026-07-09T04:33:58.206Z,login,naoki,admin,316f7e5d-8724-47f5-ba87-1d8f12769e79,sessionVersion=1,/index.html
2026-07-09T05:53:57.494Z,expired,naoki,admin,316f7e5d-8724-47f5-ba87-1d8f12769e79,idle-timeout:3600000,/field/weeding/list.html
2026-07-09T05:54:03.078Z,login,naoki,admin,a73f339d-29d6-4af5-b9b0-9a1cbcdc8390,sessionVersion=1,/index.html
2026-07-09T05:54:43.027Z,expired,doi,worker,31e5fe1b-c8af-45e4-b1f3-f05e5f3c6500,idle-timeout:3600000,/index.html
2026-07-09T09:25:57.503Z,expired,naoki,admin,a73f339d-29d6-4af5-b9b0-9a1cbcdc8390,idle-timeout:3600000,/
2026-07-09T09:26:05.796Z,login,naoki,admin,23c550eb-765c-4107-9d58-aadccd8be985,sessionVersion=1,/
2026-07-09T10:07:39.370Z,login,naoki,admin,403c2fba-2103-4870-85f8-c0604b54fd00,sessionVersion=1,/index.html
2026-07-09T10:43:25.952Z,expired,wakatsuki,worker,,idle-timeout:3600000,/map/index.html
2026-07-09T10:43:51.699Z,login,wakatsuki,worker,d0b438e2-3dea-4597-a0b2-a929580a4e9e,sessionVersion=1,/index.html
2026-07-09T11:56:19.496Z,expired,naoki,admin,23c550eb-765c-4107-9d58-aadccd8be985,idle-timeout:3600000,/
2026-07-09T11:56:25.405Z,login,naoki,admin,10b74de2-2a90-418a-9d09-3a61d7e2f3a5,sessionVersion=1,/
2026-07-09T20:41:26.922Z,login,naoki,admin,45cbb804-f2f7-48cf-8d2e-3ed5ba4a2cd0,sessionVersion=1,/index.html
2026-07-09T22:11:50.611Z,stepup-required,naoki,admin,45cbb804-f2f7-48cf-8d2e-3ed5ba4a2cd0,path=/admin/index.html,/admin/index.html
2026-07-09T22:11:56.575Z,login,naoki,admin,61c36b85-e7a2-40e3-b0a8-70b33eb75148,sessionVersion=1,/index.html
2026-07-09T22:13:17.576Z,login,naoki,admin,32c1d615-66e8-46dd-82c5-0023dc4ef85d,sessionVersion=1,/admin/machine-qr.html
2026-07-09T22:13:43.220Z,expired,naoki,admin,10b74de2-2a90-418a-9d09-3a61d7e2f3a5,issuedAt=1783598185289,/machine-work-hub.html
2026-07-09T22:13:51.209Z,login,naoki,admin,076d9996-bb97-448c-8b50-db7554bdd1d7,sessionVersion=1,/index.html
2026-07-09T22:34:09.693Z,expired,wakatsuki,worker,d0b438e2-3dea-4597-a0b2-a929580a4e9e,issuedAt=1783593831480,/map/index.html
2026-07-09T22:34:19.923Z,login,wakatsuki,worker,af7ba9c3-924e-4f9d-976d-02c66edec290,sessionVersion=1,/index.html
2026-07-09T22:48:16.325Z,stepup-required,naoki,admin,32c1d615-66e8-46dd-82c5-0023dc4ef85d,path=/admin/machine-qr.html,/admin/machine-qr.html
2026-07-09T22:50:01.963Z,login,naoki,admin,67332d3f-8a9a-48b8-b919-c0a92d6f158b,sessionVersion=1,/index.html
2026-07-09T22:56:36.048Z,login,naoki,admin,5120ee45-b732-4e5f-a317-1edd0dc2da93,sessionVersion=1,/index.html
2026-07-09T23:26:45.375Z,stepup-required,naoki,admin,5120ee45-b732-4e5f-a317-1edd0dc2da93,path=/admin/edit-log/index.html,/admin/edit-log/index.html
2026-07-09T23:27:23.268Z,expired,naoki,admin,076d9996-bb97-448c-8b50-db7554bdd1d7,idle-timeout:3600000,/machine-work-hub.html
2026-07-09T23:27:32.124Z,login,naoki,admin,232ec7a5-ef66-4732-9e09-e2096c44a6ae,sessionVersion=1,/index.html
2026-07-10T00:03:06.989Z,login,naoki,admin,d871b426-da95-4c87-b483-5d8dd36ecfe3,sessionVersion=1,/index.html
2026-07-10T00:03:09.865Z,login,naoki,admin,c4b54081-446f-40c4-a299-db50f5abff8f,sessionVersion=1,/admin/machine-qr.html
2026-07-10T00:03:14.151Z,login,naoki,admin,d1203665-3d22-4207-b88a-4517a0d2d084,sessionVersion=1,/index.html
2026-07-10T00:03:16.990Z,login,naoki,admin,78aa2fd5-4ab8-494a-b4a8-e452d50b2407,sessionVersion=1,/index.html
2026-07-10T00:37:12.993Z,stepup-required,naoki,admin,78aa2fd5-4ab8-494a-b4a8-e452d50b2407,path=/admin/edit-log/index.html,/admin/edit-log/index.html
2026-07-10T01:54:42.231Z,expired,naoki,admin,232ec7a5-ef66-4732-9e09-e2096c44a6ae,idle-timeout:3600000,/machine-work-hub.html
2026-07-10T01:54:48.892Z,login,naoki,admin,5a9cd5bb-fc6e-440a-8288-ccda50acefc9,sessionVersion=1,/index.html
2026-07-10T02:00:30.282Z,login,naoki,admin,a17e7efd-4b32-4eb3-bc3e-11609b191bd4,sessionVersion=1,/admin/machine-qr.html
2026-07-10T03:14:41.077Z,expired,naoki,admin,a17e7efd-4b32-4eb3-bc3e-11609b191bd4,idle-timeout:3600000,/
2026-07-10T03:14:47.119Z,login,naoki,admin,9b67b336-8ded-41af-a286-4f18d2d65a25,sessionVersion=1,/
2026-07-10T05:41:56.213Z,expired,naoki,admin,9b67b336-8ded-41af-a286-4f18d2d65a25,idle-timeout:3600000,/
2026-07-10T05:42:01.648Z,login,naoki,admin,fc302118-e5f4-4792-80a6-790249e7582e,sessionVersion=1,/
2026-07-10T06:50:50.973Z,expired,naoki,admin,fc302118-e5f4-4792-80a6-790249e7582e,idle-timeout:3600000,/
2026-07-10T06:50:58.395Z,login,naoki,admin,71901f2a-6968-42c5-9804-1473157bcd13,sessionVersion=1,/index.html
2026-07-10T06:51:11.162Z,login,naoki,admin,0af7d273-bc06-49c2-9af6-25232a0a081b,sessionVersion=1,/
2026-07-10T06:51:12.107Z,login,naoki,admin,573ce845-16e8-4a83-8684-0a430fd663d9,sessionVersion=1,/
2026-07-10T08:17:42.014Z,expired,naoki,admin,573ce845-16e8-4a83-8684-0a430fd663d9,idle-timeout:3600000,/machine-work-hub.html
2026-07-10T08:17:51.820Z,login,naoki,admin,54b1b423-60f0-47e6-8246-43cd367e0364,sessionVersion=1,/index.html
2026-07-10T10:07:51.677Z,login,sakiko,family,7d3a9004-6936-4391-9d80-cd23186314e9,sessionVersion=1,/
2026-07-10T10:10:28.524Z,expired,naoki,admin,54b1b423-60f0-47e6-8246-43cd367e0364,idle-timeout:3600000,/
2026-07-10T10:10:35.161Z,login,naoki,admin,3cd65224-e2c0-4678-a115-7e38cfefc094,sessionVersion=1,/
2026-07-10T10:47:20.335Z,stepup-required,naoki,admin,3cd65224-e2c0-4678-a115-7e38cfefc094,path=/admin/index.html,/admin/index.html
2026-07-10T10:47:30.443Z,login,naoki,admin,b0deb97c-14b9-411a-b825-26f05018eb03,sessionVersion=1,/index.html
2026-07-10T10:47:40.382Z,login,naoki,admin,aa68c624-0caf-43f4-9065-ed2f42568dad,sessionVersion=1,/admin/machine-qr.html
2026-07-10T10:55:58.679Z,expired,masahiko,family,66683f08-c070-491f-a4ec-90e8349a9e21,issuedAt=1783238111893,/machine-work-hub.html
2026-07-10T10:56:32.993Z,login,masahiko,family,da54a9d6-7c95-4b45-bd43-a33275de99c3,sessionVersion=1,/index.html
2026-07-10T11:34:13.934Z,login,naoki,admin,4fc5e472-8a1a-49de-b6ba-e0ed16d9dc3c,sessionVersion=1,/index.html
2026-07-10T11:34:16.731Z,login,naoki,admin,85700fdc-3557-40a5-ace8-db4fcf9178ec,sessionVersion=1,/index.html
2026-07-10T11:34:19.663Z,login,naoki,admin,a6e1b9ea-16ed-4a55-af79-8f085973ca95,sessionVersion=1,/index.html
2026-07-10T11:34:22.987Z,login,naoki,admin,4aba5d49-fd5f-4dbb-99c9-679002ab2a5e,sessionVersion=1,/index.html
2026-07-10T11:34:26.743Z,login,naoki,admin,ab06c707-e70d-4c6f-a745-6d9ab10b580c,sessionVersion=1,/index.html
2026-07-10T12:09:21.301Z,stepup-required,naoki,admin,ab06c707-e70d-4c6f-a745-6d9ab10b580c,path=/admin/machine-qr.html,/admin/machine-qr.html
2026-07-10T12:09:57.589Z,login,naoki,admin,dda2a8f0-6ec1-4294-a13c-39ead74a9cdf,sessionVersion=1,/index.html
